"מסך","מזהה (לא לערוך)","חלק","ניסוח נוכחי","ניסוח מתוקן"
"שבצ""ק","s-10","טקסט","במצב חי, משבצת פנויה בעתיד מציגה כפתור 🆘. האופטימייזר מחפש שרשרת החלפות (עומק 1 עד 3) שמשאירה את השבצ""ק תקף והוגן. כל תוכנית מקבלת תג איכות (<strong>מצוין / סביר / משמעותי</strong>) ואת רשימת השלבים שלה. עומק 4 מוצג רק כמוצא אחרון, עם אזהרה ייעודית. תוכניות שיוצרות הפרת אילוץ קשה מסומנות ⚠ בכותרת — ניתן עדיין להחיל אותן (""⚠ החל תוכנית — יש הפרות""), אך ההפרה תופיע בחלונית האזהרות.<br><br>תיבת <strong>""סמן את המוחלף כלא-זמין""</strong> רושמת את המשתתף שיצא כלא-זמין בחלון המשבצת — כדי שההחלטה תישמר לעתיד. כשמסומנת מופיע שדה אופציונלי ל<strong>סיבה</strong> שיישמר עם רשומת אי-הזמינות.",""
"שבצ""ק","s-10b","כותרת","תמונת מצב — איפה כל משתמש נמצא?",""
"שבצ""ק","s-10b","טקסט","תצוגה ייעודית שעונה ""מי איפה"" בנקודת זמן בודדת — בחר יום + שעה ותראה את כל המשתתפים ממוינים ל<strong>משובצים / במנוחה / לא זמינים / פנויים</strong>. שימושי לתכנון אד-הוק וזיהוי ""פנאי לא מנוצל"".",""
"שבצ""ק","s-10c","כותרת","בדיקת עתודה פנויה",""
"שבצ""ק","s-10c","טקסט","סרגל מתקפל בין הגריד לגאנט: ""מי פנוי בין שעה X לשעה Y?"". לחיצה עליו פותח טופס בחירת טווח שעות עם סינון לפי <strong>דרגה / הסמכה / קבוצה</strong>, <strong>שולי ביטחון</strong> לפני/אחרי, ו<strong>מצב השלמת שינה</strong> לסינון מי שעדיין בחלון התאוששות. נקודת הכניסה למציאת ממלאי-מקום מהירים.",""
"שבצ""ק","s-11","כותרת","בנייה ידנית",""
"שבצ""ק","s-11","טקסט","כפתור זה פותח שבצ""ק ריק לאיוש ידני. בחירת משבצת בטבלה פותחת מחסן משתתפים מסונן לפי כשירות; שורת הסטטוס מציגה את התקדמות האיוש; <strong>↪ ביטול</strong> מבטל את הפעולה האחרונה.",""
"שבצ""ק","s-12","כותרת","שמירת שבצ""קים",""
"שבצ""ק","s-12","טקסט","שמור גרסאות בשם — להשוואה בין שיבוצים, או לשמירת טיוטה לפני ניסיון שינוי. תג ""שונה"" = השבצ""ק הנוכחי שונה מהגרסה השמורה. לכל גרסה: <strong>טען / עדכן (במקום) / שכפל / שנה שם / מחק</strong>. טעינה ועדכון בלחיצה אחת; מחיקה אינה הפיכה. כפתור <strong>🔄 אפס</strong> שבסרגל הכותרת מוחק את השבצ""ק הנוכחי ומחזיר את המסך למצב שלפני היצירה — המשתתפים, כללי המשימות, ההגדרות והגרסאות השמורות נשמרים; הפעולה מבקשת אישור ואינה ניתנת לביטול דרך <strong>↪ ביטול</strong>.",""
"שבצ""ק","s-12b","כותרת","יום 0 — שרשור בין שבצ""קים",""
"שבצ""ק","s-12b","טקסט","הסרגל העליון מאפשר לחבר שבצ""קים עוקבים: <strong>📋 ייצוא יום</strong> שומר את מצב היום הנוכחי כקובץ הקשר. <strong>🔗 המשך מכאן</strong> מחיל אותו על שבצ""ק חדש. <strong>📋 חיבור לשבצ""ק קודם</strong> טוען קובץ הקשר ידנית. השבצ""ק החדש יציג כרטיסיית <strong>יום 0</strong> לקריאה בלבד — העוגן שמפעיל אילוצי גשר בין השבצ""קים.",""
"שבצ""ק","s-13","כותרת","משימת חירום",""
"שבצ""ק","s-13","טקסט","פעיל רק במצב חי. הגדר משימה חד-פעמית שלא תוכננה מראש — שם, יום, שעה, משך, רמות והסמכות נדרשות. המערכת מחפשת את השיבוץ הפחות-משבש ומציגה <strong>תוכניות מדורגות</strong> לבחירה. תיבה אופציונלית ""<strong>שמור את המשימה גם במסך המשימות</strong>"" משאירה אותה כמשימה חד-פעמית קבועה (תופיע ביצירת השבצ""ק הבא).",""
"שבצ""ק","s-14","כותרת","אי-זמינות עתידית",""
"שבצ""ק","s-14","טקסט","פתח כרטיס משתתף ← <strong>🆘 סמן אי-זמינות</strong> ← בחר חלון יום ושעה. שלא כמו חילוץ שמטפל במשבצת בודדת, אי-זמינות עתידית מחשבת <strong>תוכנית אחת מאוחדת</strong> שמחליפה את כל השיבוצים שייפגעו יחד.<br><br>לפני הפעלת החיפוש, המערכת תציג <strong>רשימת כל השיבוצים שייפגעו</strong> עם תיבת סימון לכל אחד. בטל סימון של שיבוץ כדי להוציאו מהתוכנית — שימושי כשהמשתתף יכול לכסות חלק מהמשמרות בעצמו. שיבוצים מהעבר הקפוא (לפני העוגן) מוצגים בנפרד בקוביית ""🔒 נעולים"" ולא ניתן לשנותם. אם החיפוש לא מוצא תוכנית מלאה, ייפתח חלון הכרעה: להסיר משבצות בלתי-פתירות ולנסות שוב, לצמצם את החלון, או לבטל.",""
"שבצ""ק","s-15","כותרת","ייצוא",""
"שבצ""ק","s-15","טקסט","כפתור הייצוא פותח חלון בחירה. <strong>PDF</strong> — תצוגה מודפסת (יומית מפורטת + סיכום שבועי). <strong>Excel</strong> — גיליון נתונים עם עמודות זמן, משימה ומשתתף. הייצוא זמין לכל שבצ""ק שנוצר, גם ללא מצב חי.",""
"הגדרות אלגוריתם","a-1","כותרת","לשונית הגדרות",""
"הגדרות אלגוריתם","a-1","טקסט","כאן מרוכזות כל הגדרות המערכת — אלגוריתם, הסמכות, מראה, ייבוא/ייצוא. כל סעיף הוא אקורדיון; השינויים נשמרים מיידית.",""
"הגדרות אלגוריתם","a-2","כותרת","מרכז המדריכים",""
"הגדרות אלגוריתם","a-2","טקסט","האקורדיון הראשון הוא ספריית המדריכים. מכאן אפשר להפעיל את הסיור הכללי או מדריכים ממוקדים — חזור לכאן בכל עת.",""
"הגדרות אלגוריתם","a-3","כותרת","ערכות הגדרות שמורות",""
"הגדרות אלגוריתם","a-3","טקסט","הרשימה מציגה ערכות הגדרות — מובנות ושמורות. בחירת ערכה טוענת אותה מיידית. <strong>💾</strong> לצד הרשימה שומר ערכה חדשה. תג ""שונה"" = שינית מאז הטעינה האחרונה ולא שמרת. כפתור פתיחת החלונית המלאה חושף לכל ערכה: <strong>טען / עדכן (במקום) / שכפל / שנה שם / מחק</strong>. ערכות מובנות מסומנות ""מובנה"" ולא ניתן למחוק או לשנות שם להן.",""
"הגדרות אלגוריתם","a-3b","כותרת","הגדרות כלליות — שעת תחילת יום תפעולי",""
"הגדרות אלגוריתם","a-3b","טקסט","<strong>שעת תחילת יום תפעולי</strong> (ברירת מחדל 05:00) — קובעת את גבולות ""יום 1..7"" בכל המערכת: תצוגה, הקפאה במצב חי, חלוקת עומס, אי-זמינות, וייצוא. זוהי הגדרה בעלת השפעה רחבה — שינוי שלה מזיז את גבול היממה בכל המסכים, לכן כדאי לקבוע אותה פעם אחת לפני יצירת השבצ""ק.",""
"הגדרות אלגוריתם","a-3c","כותרת","כיול אוטומטי",""
"הגדרות אלגוריתם","a-3c","טקסט","כפתור <strong>🎯 כיול אוטומטי</strong> מריץ את המתזמן עשרות פעמים מול המשתתפים, המשימות וההסמכות שהגדרת — ומחפש את צירוף המשקלות שמשיג את הציון הטוב ביותר <strong>עבור הנתונים שלך</strong>. התהליך אורך מספר דקות. הוא <strong>אינו הרסני</strong>: ההגדרות הנוכחיות לא ישונו — בסיומו תוצג המלצה עם טבלת השוואה המראה בדיוק אילו משקלות ישתנו, ואתה בוחר <strong>החל הגדרות מומלצות</strong> או סוגר (ייתכן גם ""אין צורך בשינוי""). עדיף על כיוונון ידני של הסליידרים.",""
"הגדרות אלגוריתם","a-3c","טקסט (מובייל)","מכייל את <strong>כל המשקלות</strong> מהנתונים שלך (משתתפים, משימות, הסמכות). אורך מספר דקות, ורק <strong>מציע</strong> — ההגדרות לא ישונו עד שתאשר <strong>החל הגדרות מומלצות</strong>. עדיף על כוונון ידני של הסליידרים.",""
"הגדרות אלגוריתם","a-3d","כותרת","פיצול משמרות — הפעלה להרצה זו",""
"הגדרות אלגוריתם","a-3d","טקסט","מתג זה מפעיל פיצול משמרות <strong>עבור ההרצה הנוכחית בלבד</strong>. כשמסומן — משימה שסומנה ""<strong>ניתן לפיצול</strong>"" בכללי המשימות יכולה להתפצל לשתי משמרות לשני אנשים שונים: גם כדי לאייש משבצת שאחרת תישאר ריקה, וגם כשהפיצול משפר משמעותית את האיכות (עונש הפיצול קובע את הסף, והמערכת מאחה בחזרה כשכבר לא משתלם). כבוי = התנהגות רגילה לחלוטין (אף משמרת אינה מפוצלת). ההגדרה <strong>נקפאת על השבצ""ק</strong> שנוצר — שינוי כאן משפיע רק על השבצ""ק הבא.",""
"הגדרות אלגוריתם","a-4","כותרת","משקלות האלגוריתם",""
"הגדרות אלגוריתם","a-4","טקסט","כל סליידר קובע את החשיבות של גורם מסוים — איזון עומס, איזון יומי, מנוחה. שנה בהדרגה ובדוק את ההשפעה על הציון; ערך ברירת המחדל מוצג ליד כל משקל לעיון.",""
"הגדרות אלגוריתם","a-4b","כותרת","עונש פיצול משמרת",""
"הגדרות אלגוריתם","a-4b","טקסט","כשפיצול מופעל, סליידר זה קובע כמה ""יקר"" נחשב כל פיצול — וזהו <strong>הסף האמיתי</strong>: המערכת מפצלת משמרת שניתן לאייש בשלמותה רק כשהשיפור בהוגנות/מנוחה/איזון <strong>עולה על הקנס</strong>, ומאחה פיצול בחזרה כשכבר אינו מצדיק אותו. ערך גבוה יותר = פיצול נדיר יותר. פיצול שמונע משבצת ריקה משתלם תמיד ואינו מורתע. הקנס נכלל בכיול האוטומטי.",""
"הגדרות אלגוריתם","a-5","כותרת","תנאים מחייבים — קו אדום",""
"הגדרות אלגוריתם","a-5","טקסט","אילוצים קשים — אם מופרים, השבצ""ק פסול. בדרך-כלל אין לנטרל אותם. ⚠ ""מושבת"" = המערכת תדלג על הבדיקה — נטרל רק אם אתה יודע בדיוק מה אתה עושה.",""
"הגדרות אלגוריתם","a-6","כותרת","הסמכות ופק""לים",""
"הגדרות אלגוריתם","a-6","טקסט","הגדר אילו הסמכות קיימות. לכל הסמכה ניתן לבחור <strong>צבע</strong> (פלטה מובנית או הקסה אישית 🎨); ניגודיות נמוכה תידחה. <strong>פק""לים</strong> = פק""לים תפעוליים — אחריות תוספתית שצמודה לאדם. שינויים מופיעים מיידית בלשוניות משתתפים ומשימות.",""
"הגדרות אלגוריתם","a-7","כותרת","מראה · אחסון · אזור סכנה",""
"הגדרות אלגוריתם","a-7","טקסט","מתג <strong>בהיר/כהה</strong> — המדריך הנוכחי גם הוא מתאים את עצמו. <strong>יצירת שבצ""ק</strong> — קביעת מספר ניסיונות ברירת-מחדל. <strong>שימוש באחסון</strong> — דשבורד שמראה מה תופס מקום בזיכרון המקומי (גרסאות שמורות, מערכים, סטים, ערכות), עם התראה כשהזיכרון מלא. <strong>⚠ איפוס מערכת</strong> — מוחק את כל הנתונים; אל תלחץ בטעות.",""
"הגדרות אלגוריתם","a-8","כותרת","ייבוא / ייצוא נתונים",""
"הגדרות אלגוריתם","a-8","טקסט","ייצוא לקובץ JSON — לגיבוי או למחשב אחר. בייבוא ייפתח חלון בחירה: גיבוי מלא מחליף את כל הנתונים, וייבוא ממוקד מאפשר להוסיף כערכה/סט חדשים או להחליף קיימים. ייצוא Excel/PDF זמינים גם מלשונית השבצ""ק.",""
"כרטיס משתתף","pr-1","כותרת","כרטיס משתתף — ניווט",""
"כרטיס משתתף","pr-1","טקסט","הגעת לכאן בלחיצה על שם משתתף בגריד או בסרגל הצד. כפתור <strong>↩ חזרה</strong> מחזיר ללשונית השבצ""ק בכל עת. המידע נקרא מהשבצ""ק הקפוא — תואם בדיוק למה שמוצג בלשונית הראשית.",""
"כרטיס משתתף","pr-2","כותרת","עומס אפקטיבי",""
"כרטיס משתתף","pr-2","טקסט","המספר הגדול הוא סך שעות העומס <strong>המשוקלל</strong> — לא שעות גולמיות (חלונות עומס משפיעים על המשקל; משימות בלי עומס לא נספרות כלל). זה המספר שהאלגוריתם מנסה לאזן בין המשתתפים. בכותרת שמעל המספר — תגי <strong>הסמכות</strong>, <strong>פק""לים</strong>, ו-❤/🚫 ל<strong>העדפות משימה</strong> (אם הוגדרו).",""
"כרטיס משתתף","pr-3","כותרת","לו""ז אישי",""
"כרטיס משתתף","pr-3","טקסט","כל שיבוצי המשתתף, ממוינים לפי יום. יום 0 (אם קיים) מציג שיבוצים מלפני תחילת השבצ""ק — לקריאה בלבד, לצורך הקשר. תווית <strong>← יום N</strong> = משמרת חוצת ימים. במצב חי, לכל שיבוץ עתידי כפתור <strong>🆘</strong> (חילוץ של אותה משבצת) ולכל שיבוץ עבר אייקון <strong>🧊</strong> (קפוא). לחיצה על שם משימה פותחת את לוח המשימה.",""
"כרטיס משתתף","pr-3b","כותרת","מדדי עומס",""
"כרטיס משתתף","pr-3b","טקסט","כרטיס זה עונה על השאלה ""כמה עמוס המשתתף?"". השורה הראשונה חוזרת על העומס המשוקלל מהכותרת. <strong>אחוז ניצול</strong> מודד אותו יחסית ל<strong>שעות הזמינות של המשתתף עצמו</strong> — לא לכל התקופה — וצבוע ירוק / כתום / אדום לפי סף, כך שעומס-יתר או תת-ניצול בולטים מיד. מתחת, <strong>פירוט לפי סוג משימה</strong> מראה כמה שעות הושקעו בכל משימה — לא רק כמה, אלא על מה.",""
"כרטיס משתתף","pr-3b","טקסט (מובייל)","הכרטיס עונה ""כמה עמוס המשתתף?"". <strong>אחוז ניצול</strong> = העומס יחסית לשעות הזמינות של המשתתף עצמו, צבוע ירוק / כתום / אדום לפי סף. מתחת, <strong>פירוט לפי סוג משימה</strong> מראה כמה שעות הושקעו בכל משימה.",""
"כרטיס משתתף","pr-4","כותרת","אי-זמינות",""
"כרטיס משתתף","pr-4","טקסט","כרטיס אי-הזמינות מאחד שלוש רמות: כללים קבועים, אי-זמינות עתידית (סקופ-שבצ""ק), ושינויי הסמכה. <strong>🆘 סמן אי-זמינות</strong> ו-<strong>📜 שינוי הסמכה</strong> — אם מצב חי כבוי, תופיע בקשה אוטומטית להפעילו ולבחור עוגן; לאחר מכן תחושב תוכנית מאוחדת שמחליפה את כל השיבוצים שייפגעו. <strong>הסר</strong> ליד כל רשומה מבטל אותה.",""
"כרטיס משתתף","pr-4b","כותרת","שינוי הסמכה (אובדן הסמכה אמצע שבצ""ק)",""
"כרטיס משתתף","pr-4b","טקסט","הכפתור <strong>📜 שינוי הסמכה</strong> מטפל בתרחיש שבו הסמכה של המשתתף פוקעת או נשללת באמצע השבצ""ק — למשל אישור שתוקפו תם. לחיצה עליו פותחת בורר: בחר אילו הסמכות אבדו ולאיזו תקופה עתידית. המערכת תאתר את <strong>כל</strong> השיבוצים העתידיים שדורשים את אותן הסמכות, ותציע תוכנית החלפה מאוחדת — באותו ממשק של אי-זמינות עתידית, עם תוכניות מדורגות לבחירה. לאחר ההחלה, רישום השינוי מופיע בכרטיס אי-הזמינות שמתחת וניתן להסרה בלחיצת <strong>הסר</strong>. <em>הכפתור מוצג רק למשתתפים שמחזיקים לפחות הסמכה אחת.</em>",""
"כרטיס משתתף","pr-5","כותרת","סיום",""
"כרטיס משתתף","pr-5","טקסט","כעת אתה יודע לקרוא את הכרטיס האישי. כדי לראות מבט-על על משימה ספציפית, לחץ על תג משימה בגריד השבצ""ק. <strong>↩ חזרה</strong> מחזיר למסך הראשי.",""
"לוח משימה","tp-1","כותרת","לוח משימה — מבט-על",""
"לוח משימה","tp-1","טקסט","הכותרת מציגה את שם המשימה, תגי תכונות (קבוצה אחידה, חוסמת רצף), וחלונות עומס מוגבר. לצידה: מדדי מפתח — מספר המשמרות ומצב המילוי. כפתור <strong>חזור לשבצ""ק</strong> בראש הכרטיס מחזיר ללשונית הראשית בכל עת.",""
"לוח משימה","tp-2","כותרת","משבצות לא מאוישות",""
"לוח משימה","tp-2","טקסט","כרטיס זה מופיע רק כשיש משבצות לא מאוישות. כל שורה מציגה: יום, שעה, ושם המשבצת (תפקיד) — מיפוי מהיר של מה שחסר. זוהי רשימת מיפוי בלבד — המשבצות הריקות כאן אינן ניתנות לאיוש מהלוח. את האיוש מבצעים בגריד השבצ""ק: <strong>🆘 חילוץ</strong> על משבצת ריקה (במצב חי) או <strong>⇄ החלפה</strong> על תא מאויש.",""
"לוח משימה","tp-3","כותרת","ציר זמן שבועי",""
"לוח משימה","tp-3","טקסט","כל שורה = יום, עמודות = שעות. פסים כתומים = חלונות עומס מוגבר. ריחוף מעל משמרת מציג את פרטיה. בכל תא משובץ: <strong>🆘 חילוץ</strong> ו-<strong>⇄ החלפה</strong> זמינים ישירות מכאן (במצב חי, שיבוצי עבר מוצגים עם 🧊 במקום).",""
"לוח משימה","tp-4","כותרת","דרישות משבצת",""
"לוח משימה","tp-4","טקסט","מרכז את הדרישות לכל משבצת — מספר ממלאים, רמות מותרות (תג ~ = עדיפות נמוכה), הסמכות נדרשות, ותת-צוות. כאן רואים בדיוק מה דרוש לכל תפקיד.",""
"לוח משימה","tp-4b","כותרת","תכונות המשימה",""
"לוח משימה","tp-4b","טקסט","כרטיס <strong>⚙️ תכונות משימה</strong> מרכז את האופן שבו המערכת ""שוקלת"" את המשימה: <strong>משקל בסיס</strong>, תוספת <strong>עומס מוגבר ×N</strong> לכל חלון מוגבר, האם המשימה <strong>חוסמת רצף</strong> משימות כבדות, האם <strong>נדרשת אותה הקבוצה</strong>, וה<strong>פער מנוחה מינימלי</strong> שנדרש לפני משימה עמוסה אחרת. אלו הערכים שהאופטימייזר מאזן — והם מסבירים למה המשימה מאוישת כפי שהיא.",""
"לוח משימה","tp-4b","טקסט (מובייל)","הכרטיס <strong>⚙️ תכונות משימה</strong> מציג כיצד המערכת שוקלת את המשימה מבחינה מספרית: <strong>משקל בסיס</strong>, תוספת <strong>עומס מוגבר ×N</strong> לכל חלון, <strong>חוסמת רצף</strong>, <strong>נדרשת אותה הקבוצה</strong>, ו<strong>פער מנוחה מינימלי</strong>. אלו הערכים שהאופטימייזר מאזן בעת השיבוץ.",""
"לוח משימה","tp-5","כותרת","השוואת העומסים בין המשתתפים",""
"לוח משימה","tp-5","טקסט","גרף עמודות שמשווה בין המשתתפים שעבדו במשימה זו — לכל אחד מספר השעות ומספר המשמרות שצבר בה. לחיצה על שם משתתף פותחת את הכרטיס האישי שלו.",""
"טקסטים נלווים","banner-text","טקסט הבאנר שמופיע למשתמש חדש","חדש כאן? סיור מודרך קצר מציג את כל חלקי המערכת.",""
"טקסטים נלווים","banner-button-start","כפתור בבאנר — פתיחת המדריך","📖 פתח מדריך",""
"טקסטים נלווים","banner-button-dismiss","כפתור בבאנר — דחייה","לא עכשיו",""
"טקסטים נלווים","launcher-intro","פתיח לוח בחירת המדריך","בחר מדריך — המערכת תדריך אותך שלב אחר שלב, וניתן לצאת בכל עת. הסיור משתמש בנתוני הדגמה זמניים; הנתונים שלך יוחזרו אוטומטית ביציאה.",""
"טקסטים נלווים","step-counter","מונה השלבים בראש כל בועה","שלב {מספר} מתוך {סך הכול}",""
"טקסטים נלווים","deep-tour-header","כותרת בסיור המעמיק","סיור מעמיק · מסלול {מספר} מתוך 6 · {שם המסלול}",""
"טקסטים נלווים","button-next","כפתור — מעבר לשלב הבא","← המשך",""
"טקסטים נלווים","button-finish","כפתור — סיום המדריך","✓ סיים",""
"טקסטים נלווים","button-back","כפתור — חזרה לשלב הקודם","חזרה →",""
"טקסטים נלווים","button-exit","כפתור — יציאה מהמדריך","יציאה מהמדריך",""
"טקסטים נלווים","label-completed","תווית ""מסלול הושלם"" בלוח הבחירה","הושלם",""
"טקסטים נלווים","label-close","תווית הכפתור לסגירת הבאנר","סגור",""
"טקסטים נלווים","toast-tour-active","הודעה — נלחץ על הרקע בזמן שהמדריך פעיל","המדריך פעיל — השתמש בכפתורי ""המשך"" / ""יציאה"" כדי להתקדם.",""
"טקסטים נלווים","toast-tab-closed","הודעה — המסך נסגר באמצע המדריך","המסך נסגר; המדריך נסגר.",""
"טקסטים נלווים","toast-demo-load-failed","הודעה — כשל בטעינת נתוני ההדגמה","טעינת נתוני הדגמה נכשלה — נסה לרענן את הדף.",""
"טקסטים נלווים","error-finish-editing-first","הודעה — צריך לסיים עריכה ידנית לפני התחלת מדריך","סיים את העריכה הידנית לפני התחלת המדריך.",""
"טקסטים נלווים","error-close-dialog-first","הודעה — צריך לסגור חלון לפני התחלת מדריך","סגור את החלון לפני התחלת המדריך.",""
"טקסטים נלווים","error-close-edit-sheet-first","הודעה — צריך לסגור את גיליון העריכה לפני התחלת מדריך","סגור את גיליון העריכה לפני התחלת המדריך.",""
